Species,awn_category,hair_category,VT,plant_height,wind_speed,5-percentile,25-percentile,50-percentile,75-percentile,90-percentile,99-percentile
Elionurus_tripsacoides,,,1.7,1.5,8.28,-0.01637931,0.153723404,0.275515464,0.411419753,0.559210526,0.875
Hyparrhenia_diplandra,,,3.31,2,6.61,-0.00768293,0.082043478,0.151595745,0.223543689,0.305338983,0.435
Hyparrhenia_diplandra,,,2.25,2,6.61,-0.0390625,0.136792453,0.253240741,0.393656716,0.535,0.808333333
Hyparrhenia_diplandra,,,3.31,2,8.8,-0.02672414,0.104357798,0.219907407,0.342261905,0.461363636,0.67
Hyparrhenia_diplandra,,,2.25,2,8.8,-0.095,0.166528926,0.358333333,0.601162791,0.826923077,1.278571429
Hyparrhenia_diplandra,,,3.31,3,6.61,-0.09594595,0.18037037,0.370740741,0.589285714,0.806666667,1.25
Hyparrhenia_diplandra,,,2.25,3,6.61,-0.16315789,0.258677686,0.575949367,0.935416667,1.291891892,2.1
Hyparrhenia_diplandra,,,3.31,3,8.8,-0.1372093,0.263380282,0.541081081,0.877586207,1.23125,1.86
Hyparrhenia_diplandra,,,2.25,3,8.8,-0.31046512,0.378813559,0.857514451,1.353296703,1.93125,3.21
Hyparrhenia_finitima,,,2.5,1,6.17,0.00574627,0.027733813,0.045264901,0.064115044,0.080522388,0.105
Hyparrhenia_finitima,,,1.29,1,6.17,0.01205128,0.070769231,0.118461538,0.166792453,0.218636364,0.305
Hyparrhenia_finitima,,,2.5,1,8.68,-0.008125,0.033311258,0.064674556,0.10031746,0.127623762,0.204285714
Hyparrhenia_finitima,,,1.29,1,8.68,-0.02236842,0.087416107,0.166566265,0.254770992,0.341071429,0.494230769
Hyparrhenia_finitima,,,2.5,2,6.17,-0.00294118,0.125,0.227142857,0.3214,0.419791667,0.6375
Hyparrhenia_finitima,,,1.29,2,6.17,-0.075,0.253418803,0.462903226,0.707647059,0.95,1.575
Hyparrhenia_finitima,,,2.5,2,8.68,-0.07105263,0.159459459,0.324358974,0.5092,0.697727273,1.13
Hyparrhenia_finitima,,,1.29,2,8.68,-0.17857143,0.321276596,0.664238411,1.058928571,1.476470588,2.46
Hyparrhenia_hirta,,,2.23,0.3,6.22,0.00233571,0.004255051,0.0055625,0.007131579,0.008578947,0.010964286
Hyparrhenia_hirta,,,1.26,0.3,6.22,0.00551064,0.011643478,0.015923077,0.020752577,0.024878788,0.032636364
Hyparrhenia_hirta,,,2.23,0.3,7.9,0.00212791,0.0045,0.006316327,0.008175676,0.010064516,0.0135
Hyparrhenia_hirta,,,1.26,0.3,7.9,0.00498,0.012894231,0.018265957,0.024552632,0.030103448,0.03975
Hyparrhenia_hirta,,,2.23,0.6,6.22,0.00912857,0.019325581,0.025785714,0.0333,0.039970588,0.0513
Hyparrhenia_hirta,,,1.26,0.6,6.22,0.02307692,0.046496063,0.065135135,0.083595041,0.102164179,0.133461538
Hyparrhenia_hirta,,,2.23,0.6,7.9,0.00861111,0.020995935,0.030071429,0.040918367,0.050344828,0.071388889
Hyparrhenia_hirta,,,1.26,0.6,7.9,0.02516949,0.055291262,0.078363636,0.10527027,0.131136364,0.18
Ischaemum_rugosum,,,3.38,0.1,4.11,4.42E-05,7.17E-05,9.28E-05,0.000117564,0.000141296,0.000178333
Ischaemum_rugosum,,,2.38,0.1,4.11,6.45E-05,0.000146429,0.000199488,0.000257069,0.000315,0.000445
Ischaemum_rugosum,,,3.38,0.1,8.42,4.02E-05,8.11E-05,0.000109694,0.000145439,0.000176316,0.000226923
Ischaemum_rugosum,,,2.38,0.1,8.42,6.32E-05,0.000168333,0.000249176,0.000332563,0.000412692,0.000559615
Ischaemum_rugosum,,,3.38,1,4.11,0.00492105,0.012053191,0.017448529,0.023212871,0.028848837,0.0393
Ischaemum_rugosum,,,2.38,1,4.11,0.0085,0.022938596,0.033616071,0.045721154,0.055707547,0.075625
Ischaemum_rugosum,,,3.38,1,8.42,-0.00398305,0.01748366,0.032941176,0.05220339,0.068548387,0.093
Ischaemum_rugosum,,,2.38,1,8.42,-0.00402985,0.034883721,0.062903226,0.095322581,0.125526316,0.184285714
Pogonatherum_paniceum,,,0.73,0.15,5.55,0.00030952,0.003116162,0.005397638,0.0079,0.01015,0.0153
Pogonatherum_paniceum,,,0.58,0.15,5.55,-7.14E-05,0.004044118,0.007210526,0.010640288,0.01390566,0.018904762
Pogonatherum_paniceum,,,0.73,0.15,8.64,-0.00086034,0.003451515,0.006315789,0.009474359,0.01250411,0.018078
Pogonatherum_paniceum,,,0.58,0.15,8.64,-0.00106897,0.005175439,0.009222222,0.013809524,0.018381818,0.02675
Pogonatherum_paniceum,,,0.73,0.6,5.55,-0.00583333,0.034671533,0.066022099,0.09778626,0.1275,0.183846154
