Individual,seed,Vmean,Vstd,Amean,Astd,M,Cd,Cd_error,Re,Re_error
AUB84_2,16,1.592971219,0.067362366,1.22E-05,3.94E-06,2.79E-06,1.454893996,0.484082124,393.0542466,37.09251306
AUB84_2,17,1.306339313,0.071093578,1.40E-05,4.03E-06,2.52E-06,1.714765603,0.528934441,344.2010694,30.08519405
AUB84_2,18,1.143807832,0.042558862,1.04E-05,1.94E-06,2.70E-06,3.221116873,0.647141139,260.1908353,17.66643395
AUB84_2,19,1.320200179,0.03763248,8.59E-06,1.28E-06,2.95E-06,3.189163417,0.509130189,272.9092619,16.87475007
AUB84_2,20,1.069196209,0.044634117,1.25E-05,3.60E-06,2.56E-06,2.908741074,0.874472575,266.3425534,23.29052131
Andglotk,1,0.563336911,0.064931973,2.59E-06,3.50E-07,4.19E-07,8.347293828,2.231606652,68.14858451,8.186705349
Andglotk,2,0.470206603,0.027492225,1.32E-06,4.48E-07,2.60E-07,14.51746362,5.191632017,40.70652032,4.182453968
Andglotk,3,0.470193384,0.012246697,1.33E-06,1.52E-07,2.62E-07,14.58882039,1.838202885,40.7627275,1.579292081
Andglotk,4,0.549771702,0.039882303,9.84E-07,7.39E-08,3.25E-07,17.86686944,2.91931646,41.02420062,3.074210691
Andglotk,5,0.57770377,0.014526073,1.41E-06,5.94E-07,3.43E-07,11.91885748,5.054375355,51.60032363,5.584683792
Andglotk,6,0.320888379,0.018724168,1.33E-06,4.56E-07,3.26E-07,39.05672983,14.20155343,27.78967962,2.89026761
Andglotk,7,0.42780034,0.049460613,1.94E-06,4.44E-07,3.78E-07,17.39945972,5.656685217,44.83329902,5.781796222
Andglotk,8,0.3567736,0.018162114,1.56E-06,6.46E-07,3.43E-07,28.24251933,12.04691474,33.52108146,3.868061606
Andten,1,2.793145256,0.137020354,1.81E-05,NaN,3.70E-06,0.428881226,0.04207834,892.8148026,43.79786552
Andten,2,2.525461974,0.088313376,1.45E-05,NaN,3.44E-06,0.60596997,0.042380566,724.2981654,25.32812492
Andten,3,2.270246255,0.052763039,1.38E-05,NaN,3.44E-06,0.792776236,0.036849996,634.0309547,14.73558199
Andten,4,2.585638764,0.235045797,1.90E-05,NaN,3.52E-06,0.454771423,0.082681396,846.8363587,76.98110399
Andten,5,1.956929551,0.174468409,1.69E-05,NaN,3.66E-06,0.922524278,0.164493753,605.6144887,53.99305058
Andten,6,2.344834186,0.261121598,1.98E-05,NaN,3.69E-06,0.554800141,0.123565496,784.3372454,87.34408436
Chalas,1,2.578134446,0.036899771,4.57E-06,NaN,1.44E-06,0.774411287,0.022167656,414.7658654,5.936372126
Chalas,2,2.934897893,0.170672901,4.57E-06,NaN,1.63E-06,0.677797349,0.078831799,472.0623248,27.45180568
Chalas,3,2.667172725,0.132086563,5.09E-06,NaN,1.57E-06,0.708975608,0.070221287,452.4854964,22.4084677
Chalas,4,2.70417166,0.173690534,4.38E-06,NaN,1.38E-06,0.704919763,0.090554821,425.7759439,27.34783896
Chalas,5,2.887375651,0.302167329,4.88E-06,NaN,1.79E-06,0.71802936,0.15028527,479.8860828,50.22065482
Chalas,6,2.968905465,0.219027442,3.77E-06,NaN,1.56E-06,0.767623003,0.113260934,433.5799835,31.98684355
Chalas,7,2.980096829,0.350412916,4.29E-06,NaN,1.95E-06,0.837447508,0.196941536,464.1411255,54.57575864
Chalas,8,2.864261973,0.203747229,4.63E-06,NaN,1.98E-06,0.852557052,0.121292073,463.5818742,32.97656535
Chalas,9,2.949171558,0.141413707,4.65E-06,NaN,1.79E-06,0.725979346,0.069621878,478.2649743,22.93295647
Chalas,10,2.64982828,0.340191709,4.09E-06,NaN,1.02E-06,0.578585181,0.148560481,403.1543535,51.75798348
Iscsug,1,2.695604708,0.074155382,8.39E-06,6.48E-07,3.33E-06,0.892410781,0.084627377,587.3090258,19.73948772
Iscsug,2,1.94067032,0.016651619,1.01E-05,9.62E-07,2.41E-06,1.031758204,0.099653838,464.4955149,11.73506652
Iscsug,3,2.750268956,0.383350201,9.60E-06,4.42E-07,3.22E-06,0.725507443,0.204986818,641.1090319,89.66553953
Iscsug,4,2.734642736,0.115366966,1.01E-05,7.00E-07,3.22E-06,0.695086422,0.075797816,654.7848744,29.84869868
Iscsug,5,3.375522072,0.309654481,1.29E-05,1.60E-06,4.00E-06,0.446190654,0.098894692,910.8497004,88.22486562
Iscsug,6,3.162869387,0.030478542,9.85E-06,3.95E-07,4.36E-06,0.724038541,0.032240226,746.5942953,10.38726526
Iscsug,7,2.691922364,0.238658066,1.28E-05,1.25E-06,4.32E-06,0.761256031,0.154109272,724.7691294,66.64903333
Iscsug,8,2.821694756,0.00946881,1.01E-05,8.79E-07,3.92E-06,0.798184695,0.069808311,673.9120105,14.86447685
Iscsug,9,3.051918518,0.080770842,1.05E-05,4.42E-07,4.25E-06,0.707576466,0.047799351,745.3827783,21.22102328
